,Lambda,No_Hidden_Nodes,Train_Accuracy,Validation_Accuracy,Test_Accuracy,Time
0,0,0,50.04739336,50.01876173,50,2.036554575
12,5,0,50.04739336,50.01876173,50,1.641611338
24,10,0,50.04739336,50.01876173,50,1.673526764
36,15,0,50.04739336,50.01876173,50,2.406567097
35,10,275,81.15165877,78.72420263,81.94549584,153.4103768
45,15,225,80.26066351,79.0619137,81.37774413,98.67258668
2,0,50,80.22748815,79.58724203,80.92354277,28.15825891
47,15,275,83.88625592,81.87617261,84.59500379,508.6914401
20,5,200,83.88151659,82.17636023,84.25435276,135.6284781
44,15,200,83.71563981,82.32645403,83.57305072,131.7557192
3,0,75,84.36018957,82.36397749,84.67070401,50.77528095
46,15,250,84.34597156,82.40150094,84.51930356,172.275521
18,5,150,84.08530806,82.47654784,84.29220288,90.60681677
34,10,250,83.63507109,82.5891182,83.64875095,209.9730029
27,10,75,84.27488152,82.62664165,84.33005299,61.98193121
14,5,50,84.27488152,82.70168856,85.08705526,49.72608471
17,5,125,84.35545024,82.70168856,84.55715367,75.78842473
13,5,25,84.24170616,82.73921201,84.25435276,41.79329252
29,10,125,84.18483412,82.77673546,84.51930356,78.94000125
25,10,25,84.55450237,82.85178236,85.08705526,35.43229413
42,15,150,84.1943128,82.85178236,84.10295231,129.2904193
30,10,150,84.39810427,82.88930582,84.78425435,91.74078393
21,5,225,84.34597156,82.92682927,84.44360333,162.8133423
16,5,100,84.81990521,83.18949343,84.67070401,63.74003124
40,15,100,84.86729858,83.18949343,85.04920515,80.51279688
22,5,250,84.62559242,83.22701689,84.70855413,189.2710967
31,10,175,84.78672986,83.26454034,85.04920515,108.6446023
32,10,200,85.07109005,83.26454034,85.2006056,162.9524431
9,0,225,84.87677725,83.30206379,85.08705526,175.3911173
11,0,275,85.42654028,83.37711069,85.54125662,201.106461
19,5,175,84.82938389,83.37711069,85.04920515,88.86946058
1,0,25,84.89099526,83.41463415,85.38985617,39.00075436
4,0,100,85.05687204,83.41463415,85.23845572,62.66151214
5,0,125,85.26540284,83.41463415,85.16275549,88.90137434
15,5,75,84.95260664,83.41463415,84.97350492,51.04807663
23,5,275,84.90995261,83.4521576,84.97350492,211.5874455
38,15,50,85.45023697,83.56472795,85.4655564,55.9205277
10,0,250,85.24170616,83.60225141,85.2006056,146.7667055
6,0,150,85.11374408,83.63977486,84.85995458,93.41132045
37,15,25,85.41232227,83.71482176,85.50340651,35.47717309
33,10,225,85.65402844,83.86491557,86.52535958,191.1246879
26,10,50,86.08056872,84.35272045,85.80620742,49.38898611
28,10,100,85.9478673,84.3902439,85.76835731,68.05210304
41,15,125,85.87203791,84.46529081,85.91975776,93.88705611
7,0,175,85.03791469,84.54033771,85.16275549,102.6645877
43,15,175,85.22748815,84.65290807,85.23845572,130.5769796
39,15,75,85.86255924,85.10318949,86.44965935,67.0547924
8,0,200,86.08056872,85.29080675,85.84405753,159.748008
